14,30,0
1,255,32
1,12,32
1,12,32
1,12,32
1,14,32
1,12,16
1,12,16
1,12,64
1,255,32
1,14,32
1,14,32
1,12,32
1,14,64
1,17,64
1,255,64
1,19,32
1,19,32
1,21,32
1,19,16
1,19,16
1,19,64
1,14,32
1,14,64
1,12,32
1,14,16
1,17,32
1,17,16
1,17,64
1,255,64
1,12,32
1,12,32
1,14,64
1,12,64
1,14,32
1,17,32
1,17,32
1,19,16
1,23,16
1,21,32
1,21,64
1,255,32
1,19,32
1,19,32
1,19,32
1,19,32
1,21,32
1,19,16
1,19,16
1,19,32
1,12,32
1,14,32
1,17,32
1,17,32
1,19,16
1,17,16
1,17,32
1,255,32
1,17,32
1,19,32
1,21,128
1,21,32
1,255,32
1,21,16
1,19,16
1,17,32
1,19,128
1,19,32
1,255,32
1,21,32
1,19,32
1,17,128
1,17,32
1,255,32
1,21,32
1,24,32
1,26,128
1,26,32
1,255,32
1,26,32
1,21,32
1,24,16
1,24,21
1,21,64
1,21,32
1,255,32
1,21,16
1,19,16
1,17,32
1,19,64
1,21,64
1,21,32
1,255,32
1,21,16
1,19,16
1,17,32
1,17,128
1,17,32
1,255,32
1,17,32
1,19,32
1,17,128
1,17,128
1,255,128
1,255,128
1,255,128
1,255,128
1,255,32
1,12,32
1,12,32
1,12,32
1,14,32
1,12,16
1,12,16
1,12,64
1,255,32
1,14,32
1,14,32
1,12,32
1,14,64
1,17,64
1,255,64
1,19,32
1,19,32
1,21,32
1,19,16
1,19,16
1,19,64
1,14,32
1,14,64
1,12,32
1,14,16
1,17,32
1,17,16
1,17,64
1,255,64
1,12,32
1,12,32
1,14,64
1,12,64
1,14,32
1,17,32
1,17,32
1,19,16
1,23,16
1,21,32
1,21,64
1,255,32
1,19,32
1,19,32
1,19,32
1,19,32
1,21,32
1,19,16
1,19,16
1,19,32
1,12,32
1,14,32
1,17,32
1,17,32
1,19,16
1,17,16
1,17,32
1,255,32
1,17,32
1,19,32
1,21,128
1,21,32
1,255,32
1,21,16
1,19,16
1,17,32
1,19,128
1,19,32
1,255,32
1,21,32
1,19,32
1,17,128
1,17,32
1,255,32
1,21,32
1,24,32
1,26,128
1,26,32
1,255,32
1,26,32
1,21,32
1,24,16
1,24,21
1,21,64
1,21,32
1,255,32
1,21,16
1,19,16
1,17,32
1,19,64
1,21,64
1,21,32
1,255,32
1,21,16
1,19,16
1,17,32
1,17,128
1,17,32
1,255,32
1,17,32
1,19,32
1,17,128
1,17,128
1,255,32
1,12,32
1,12,32
1,12,32
1,11,32
1,11,32
1,12,32
1,14,32
1,16,32
1,16,32
1,16,32
1,14,32
1,16,16
1,14,32
1,12,16
1,12,32
1,255,32
1,17,32
1,17,32
1,17,32
1,17,32
1,17,32
1,16,32
1,14,32
1,12,32
1,14,32
1,14,32
1,16,32
1,14,32
1,16,64
1,255,32
1,14,32
1,16,32
1,16,32
1,16,32
1,16,32
1,14,32
1,14,32
1,14,32
1,14,32
1,12,32
1,12,32
1,12,32
1,12,32
1,12,32
1,12,16
1,12,16
1,12,32
1,255,32
1,14,16
1,14,16
1,16,16
1,14,16
1,14,64
1,14,32
1,255,32
1,14,16
1,14,16
1,16,16
1,17,16
1,17,128
1,255,64
1,12,32
1,14,32
1,16,128
1,16,32
1,255,32
1,16,16
1,14,16
1,12,32
1,14,128
1,255,32
1,14,32
1,16,32
1,14,32
1,12,64
1,12,64
1,255,32
1,12,16
1,12,16
1,16,32
1,19,32
1,21,128
1,19,32
1,255,32
1,21,32
1,16,16
1,19,16
1,19,32
1,16,64
1,16,32
1,255,32
1,16,16
1,14,16
1,12,32
1,14,64
1,16,64
1,16,32
1,255,32
1,16,16
1,14,16
1,12,32
1,12,128
1,12,32
1,255,32
1,12,32
1,14,32
1,12,128
1,12,32
1,255,32
1,12,32
1,14,32
1,16,128
1,16,32
1,255,32
1,16,16
1,14,16
1,12,32
1,14,128
1,255,32
1,255,32
1,16,32
1,14,32
1,12,64
1,12,64
1,255,32
1,255,16
1,255,16
1,16,32
1,19,32
1,21,128
1,19,32
1,255,32
1,21,32
1,16,16
1,19,16
1,19,32
1,16,64
1,16,32
1,255,32
1,16,16
1,14,16
1,12,32
1,14,64
1,16,64
1,16,32
1,255,32
1,16,16
1,14,16
1,12,32
1,12,128
1,12,32
1,255,32
1,12,32
1,14,32
1,12,128
1,12,128
1,255,128
1,255,128
1,255,128
